"Name","Position","Team","ETR Rank","ADP","Ranking Diff","ETR Pos Rank","ADP Pos Rank","Pos Rank Diff","ID"
"Jahmyr Gibbs","RB","DET","1","1.2","0.2","RB01","RB01","0","1214154"
"Ja'Marr Chase","WR","CIN","2","3.1","1.1","WR01","WR01","0","1109979"
"Puka Nacua","WR","LA","3","3.9","0.9","WR02","WR02","0","1162128"
"Jaxon Smith-Njigba","WR","SEA","4","5.6","1.6","WR03","WR03","0","1214087"
"Bijan Robinson","RB","ATL","5","2.1","-2.9","RB02","RB02","0","1228244"
"Justin Jefferson","WR","MIN","6","9.5","3.5","WR04","WR05","1","1069535"
"Christian McCaffrey","RB","SF","7","6.0","-1.0","RB03","RB03","0","830517"
"Amon-Ra St Brown","WR","DET","8","7.1","-0.9","WR05","WR04","-1","1127106"
"CeeDee Lamb","WR","DAL","9","10.4","1.4","WR06","WR06","0","1062020"
"Jonathan Taylor","RB","IND","10","8.3","-1.7","RB04","RB04","0","1065406"
"Saquon Barkley","RB","PHI","11","13.4","2.4","RB05","RB07","2","883302"
"James Cook","RB","BUF","12","10.8","-1.2","RB06","RB05","-1","1131012"
"Drake London","WR","ATL","13","21.3","8.3","WR07","WR08","1","1178741"
"Ashton Jeanty","RB","LV","14","12.6","-1.4","RB07","RB06","-1","1379646"
"Brock Bowers","TE","LV","15","19.4","4.4","TE01","TE01","0","1285917"
"Derrick Henry","RB","BAL","16","19.4","3.4","RB08","RB12","4","732145"
"Kenneth Walker","RB","KC","17","15.0","-2.0","RB09","RB09","0","1164402"
"AJ Brown","WR","NE","18","17.2","-0.8","WR08","WR07","-1","944826"
"De'Von Achane","RB","MIA","19","18.4","-0.6","RB10","RB11","1","1231820"
"Chase Brown","RB","CIN","20","16.2","-3.8","RB11","RB10","-1","1123379"
"Omarion Hampton","RB","LAC","21","14.9","-6.1","RB12","RB08","-4","1398572"
"George Pickens","WR","DAL","22","24.6","2.6","WR09","WR11","2","1172053"
"Trey McBride","TE","ARI","23","25.9","2.9","TE02","TE02","0","1108161"
"Nico Collins","WR","HOU","24","24.3","0.3","WR10","WR10","0","1074698"
"Chris Olave","WR","NO","25","28.5","3.5","WR11","WR14","3","1122592"
"Rashee Rice","WR","KC","26","22.3","-3.7","WR12","WR09","-3","1173538"
"Jeremiyah Love","RB","ARI","27","30.6","3.6","RB13","RB13","0","1451501"
"Malik Nabers","WR","NYG","28","26.0","-2.0","WR13","WR12","-1","1286059"
"Devonta Smith","WR","PHI","29","28.5","-0.5","WR14","WR13","-1","1060262"
"Garrett Wilson","WR","NYJ","30","38.8","8.8","WR15","WR19","4","1164889"
"Kyren Williams","RB","LA","31","30.7","-0.3","RB14","RB14","0","1167361"
"Breece Hall","RB","NYJ","32","37.3","5.3","RB15","RB16","1","1162537"
"Ladd McConkey","WR","LAC","33","34.1","1.1","WR16","WR17","1","1218643"
"Zay Flowers","WR","BAL","34","32.9","-1.1","WR17","WR16","-1","1177053"
"Emeka Egbuka","WR","TB","35","31.2","-3.8","WR18","WR15","-3","1287825"
"Jaylen Waddle","WR","DEN","36","39.6","3.6","WR19","WR20","1","1125749"
"Javonte Williams","RB","DAL","37","37.0","-0.0","RB16","RB15","-1","1107881"
"Josh Allen","QB","BUF","38","27.5","-10.5","QB01","QB01","0","868199"
"Josh Jacobs","RB","GB","39","41.4","2.4","RB17","RB17","0","944416"
"Tee Higgins","WR","CIN","40","35.7","-4.3","WR20","WR18","-2","978579"
"Colston Loveland","TE","CHI","41","39.8","-1.2","TE03","TE03","0","1378821"
"Travis Etienne","RB","NO","42","44.1","2.1","RB18","RB19","1","978577"
"Tetairoa McMillan","WR","CAR","43","42.4","-0.6","WR21","WR21","0","1380576"
"Davante Adams","WR","LA","44","50.2","6.2","WR22","WR25","3","611417"
"Terry McLaurin","WR","WAS","45","46.6","1.6","WR23","WR23","0","836116"
"Cam Skattebo","RB","NYG","46","43.3","-2.7","RB19","RB18","-1","1280316"
"Luther Burden","WR","CHI","47","45.0","-2.0","WR24","WR22","-2","1377732"
"D'Andre Swift","RB","CHI","48","51.6","3.6","RB20","RB22","2","1069808"
"Jameson Williams","WR","DET","49","53.5","4.5","WR25","WR27","2","1175184"
"Mike Evans","WR","SF","50","50.6","0.6","WR26","WR26","0","593587"
"David Montgomery","RB","HOU","51","49.0","-2.0","RB21","RB21","0","946739"
"Lamar Jackson","QB","BAL","52","54.9","2.9","QB02","QB02","0","877745"
"Bhayshul Tuten","RB","JAX","53","48.7","-4.3","RB22","RB20","-2","1327169"
"Bucky Irving","RB","TB","54","59.1","5.1","RB23","RB25","2","1287923"
"DJ Moore","WR","BUF","55","48.1","-6.9","WR27","WR24","-3","877790"
"Jayden Daniels","QB","WAS","56","70.6","14.6","QB03","QB05","2","1161228"
"Jordyn Tyson","WR","NO","57","67.4","10.4","WR28","WR33","5","1394692"
"Tyler Warren","TE","IND","58","60.5","2.5","TE04","TE04","0","1229083"
"Joe Burrow","QB","CIN","59","60.4","1.4","QB04","QB03","-1","878785"
"TreVeyon Henderson","RB","NE","60","57.4","-2.6","RB24","RB24","0","1287837"
"Jadarian Price","RB","SEA","61","63.6","2.6","RB25","RB26","1","1383791"
"Christian Watson","WR","GB","62","55.9","-6.1","WR29","WR28","-1","1067918"
"Quinshon Judkins","RB","CLE","63","54.9","-8.1","RB26","RB23","-3","1383807"
"DK Metcalf","WR","PIT","64","75.6","11.6","WR30","WR36","6","945633"
"Carnell Tate","WR","TEN","65","63.2","-1.8","WR31","WR31","0","1441839"
"Rhamondre Stevenson","RB","NE","66","76.2","10.2","RB27","RB29","2","1174682"
"Jaylen Warren","RB","PIT","67","71.8","4.8","RB28","RB27","-1","1176443"
"Parker Washington","WR","JAX","68","61.3","-6.7","WR32","WR30","-2","1229074"
"Drake Maye","QB","NE","69","65.6","-3.4","QB05","QB04","-1","1286803"
"Tony Pollard","RB","TEN","70","75.0","5.0","RB29","RB28","-1","880398"
"Marvin Harrison","WR","ARI","71","68.8","-2.2","WR33","WR34","1","1287828"
"Brian Thomas","WR","JAX","72","67.0","-5.0","WR34","WR32","-2","1286064"
"Dak Prescott","QB","DAL","73","78.6","5.6","QB06","QB08","2","591816"
"Rome Odunze","WR","CHI","74","58.4","-15.6","WR35","WR29","-6","1213727"
"Jalen Hurts","QB","PHI","75","75.8","0.8","QB07","QB07","0","913271"
"Rico Dowdle","RB","PIT","76","91.8","15.8","RB30","RB33","3","933480"
"Jayden Reed","WR","GB","77","94.0","17.0","WR36","WR44","8","1123398"
"Caleb Williams","QB","CHI","78","71.6","-6.4","QB08","QB06","-2","1286445"
"RJ Harvey","RB","DEN","79","83.5","4.5","RB31","RB30","-1","1172401"
"Matthew Stafford","QB","LA","80","91.3","11.3","QB09","QB11","2","323205"
"Jordan Addison","WR","MIN","81","98.4","17.4","WR37","WR45","8","1214250"
"Josh Downs","WR","IND","82","91.8","9.8","WR38","WR42","4","1215077"
"Courtland Sutton","WR","DEN","83","82.1","-0.9","WR39","WR39","0","838878"
"Tucker Kraft","TE","GB","84","78.3","-5.7","TE05","TE05","0","1181874"
"Chuba Hubbard","RB","CAR","85","91.3","6.3","RB32","RB32","0","1062047"
"Justin Herbert","QB","LAC","86","84.0","-2.0","QB10","QB09","-1","910562"
"Patrick Mahomes","QB","KC","87","98.1","11.1","QB11","QB12","1","839031"
"Sam LaPorta","TE","DET","88","82.7","-5.3","TE06","TE06","0","1168926"
"Alec Pierce","WR","IND","89","88.6","-0.4","WR40","WR41","1","1107027"
"Trevor Lawrence","QB","JAX","90","86.7","-3.3","QB12","QB10","-2","1110711"
"Chris Godwin","WR","TB","91","79.2","-11.8","WR41","WR37","-4","835127"
"Kenneth Gainwell","RB","TB","92","97.2","5.2","RB33","RB34","1","1130705"
"Michael Wilson","WR","ARI","93","79.3","-13.7","WR42","WR38","-4","1123529"
"Jordan Love","QB","GB","94","114.2","20.2","QB13","QB18","5","912137"
"Harold Fannin","TE","CLE","95","99.3","4.3","TE07","TE08","1","1394752"
"Kyle Pitts","TE","ATL","96","90.1","-5.9","TE08","TE07","-1","1123026"
"Quentin Johnston","WR","LAC","97","73.5","-23.5","WR43","WR35","-8","1213865"
"Kyler Murray","QB","MIN","98","114.0","16.0","QB14","QB17","3","879799"
"Michael Pittman","WR","PIT","99","92.9","-6.1","WR44","WR43","-1","911348"
"Jaxson Dart","QB","NYG","100","102.1","2.1","QB15","QB14","-1","1286260"
"Blake Corum","RB","LA","101","98.3","-2.7","RB34","RB35","1","1229540"
"Brock Purdy","QB","SF","102","101.7","-0.3","QB16","QB13","-3","1121761"
"Makai Lemon","WR","PHI","103","85.3","-17.7","WR45","WR40","-5","1441120"
"Bo Nix","QB","DEN","104","107.7","3.7","QB17","QB16","-1","1161899"
"Kyle Monangai","RB","CHI","105","106.5","1.5","RB35","RB37","2","1250886"
"Jared Goff","QB","DET","106","104.4","-1.6","QB18","QB15","-3","727837"
"Jakobi Meyers","WR","JAX","107","112.9","5.9","WR46","WR48","2","880151"
"Jonathon Brooks","RB","CAR","108","86.5","-21.5","RB36","RB31","-5","1326601"
"Xavier Worthy","WR","KC","109","110.5","1.5","WR47","WR47","0","1326638"
"JK Dobbins","RB","DEN","110","105.6","-4.4","RB37","RB36","-1","976513"
"Matthew Golden","WR","GB","111","113.3","2.3","WR48","WR49","1","1379267"
"Wan'Dale Robinson","WR","TEN","112","102.6","-9.4","WR49","WR46","-3","1164875"
"George Kittle","TE","SF","113","113.3","0.3","TE09","TE10","1","733672"
"Baker Mayfield","QB","TB","114","121.2","7.2","QB19","QB20","1","748070"
"KC Concepcion","WR","CLE","115","125.1","10.1","WR50","WR52","2","1441576"
"Khalil Shakir","WR","BUF","116","123.0","7.0","WR51","WR51","0","1130603"
"Travis Kelce","TE","KC","117","120.4","3.4","TE10","TE12","2","448240"
"Jordan Mason","RB","MIN","118","114.6","-3.4","RB38","RB39","1","1116001"
"Dallas Goedert","TE","PHI","119","120.7","1.7","TE11","TE13","2","791365"
"Dalton Kincaid","TE","BUF","120","109.5","-10.5","TE12","TE09","-3","1135513"
"Malik Willis","QB","MIA","121","132.5","11.5","QB20","QB21","1","976323"
"Rachaad White","RB","WAS","122","111.6","-10.4","RB39","RB38","-1","1229343"
"Aaron Jones","RB","MIN","123","127.6","4.6","RB40","RB41","1","741314"
"Sam Darnold","QB","SEA","124","136.6","12.6","QB21","QB22","1","880026"
"Jalen Coker","WR","CAR","125","125.7","0.7","WR52","WR53","1","1218753"
"Tyler Shough","QB","NO","126","118.3","-7.7","QB22","QB19","-3","1110306"
"Jake Ferguson","TE","DAL","127","128.1","1.1","TE13","TE14","1","1065361"
"CJ Stroud","QB","HOU","128","145.6","17.6","QB23","QB25","2","1214084"
"Romeo Doubs","WR","NE","129","118.8","-10.2","WR53","WR50","-3","1122653"
"Mark Andrews","TE","BAL","130","131.5","1.5","TE14","TE15","1","820699"
"Tyrone Tracy","RB","NYG","131","132.8","1.8","RB41","RB42","1","1109708"
"Jacory Croskey-Merritt","RB","WAS","132","121.3","-10.7","RB42","RB40","-2","1191186"
"Daniel Jones","QB","IND","133","141.2","8.2","QB24","QB23","-1","879981"
"Deebo Samuel","WR","SF","134","137.7","3.7","WR54","WR57","3","835749"
"Chris Rodriguez","RB","JAX","135","141.6","6.6","RB43","RB45","2","1113403"
"Jayden Higgins","WR","HOU","136","131.7","-4.3","WR55","WR54","-1","1274492"
"Isaiah Likely","TE","NYG","137","117.2","-19.8","TE15","TE11","-4","1125111"
"De'Zhaun Stribling","WR","SF","138","145.5","7.5","WR56","WR59","3","1286818"
"Stefon Diggs","WR","FA","139","136.8","-2.2","WR57","WR56","-1","694041"
"Keaton Mitchell","RB","LAC","140","139.2","-0.8","RB44","RB43","-1","1222789"
"Woody Marks","RB","HOU","141","141.0","0.0","RB45","RB44","-1","1231652"
"Chig Okonkwo","TE","WAS","142","138.0","-4.0","TE16","TE16","0","1106374"
"Rashid Shaheed","WR","SEA","143","134.1","-8.9","WR58","WR55","-3","923412"
"Omar Cooper","WR","NYJ","144","155.3","11.3","WR59","WR61","2","1394825"
"Tyjae Spears","RB","TEN","145","158.7","13.7","RB46","RB50","4","1169430"
"Alvin Kamara","RB","NO","146","151.6","5.6","RB47","RB48","1","750846"
"Isiah Pacheco","RB","DET","147","147.0","0.0","RB48","RB46","-2","1106832"
"Jauan Jennings","WR","MIN","148","157.8","9.8","WR60","WR63","3","867009"
"Cameron Ward","QB","TEN","149","143.0","-6.0","QB25","QB24","-1","1228691"
"Juwan Johnson","TE","NO","150","151.1","1.1","TE17","TE19","2","884609"
"Brenton Strange","TE","JAX","151","148.8","-2.2","TE18","TE18","0","1164940"
"Denzel Boston","WR","CLE","152","169.3","17.3","WR61","WR67","6","1379904"
"Jalen McMillan","WR","TB","153","143.7","-9.3","WR62","WR58","-4","1213726"
"Kenyon Sadiq","TE","NYJ","154","161.1","7.1","TE19","TE21","2","1444547"
