"Name","Position","Team","ETR Rank","ADP","Ranking Diff","ETR Pos Rank","ADP Pos Rank","Pos Rank Diff","ID"
"Jahmyr Gibbs","RB","DET","1","1.1","0.1","RB01","RB01","0","1214154"
"Ja'Marr Chase","WR","CIN","2","3.1","1.1","WR01","WR01","0","1109979"
"Puka Nacua","WR","LA","3","4.0","1.0","WR02","WR02","0","1162128"
"Jaxon Smith-Njigba","WR","SEA","4","5.5","1.5","WR03","WR03","0","1214087"
"Bijan Robinson","RB","ATL","5","2.1","-2.9","RB02","RB02","0","1228244"
"Justin Jefferson","WR","MIN","6","9.3","3.3","WR04","WR05","1","1069535"
"Amon-Ra St Brown","WR","DET","7","7.1","0.1","WR05","WR04","-1","1127106"
"Christian McCaffrey","RB","SF","8","6.2","-1.8","RB03","RB03","0","830517"
"CeeDee Lamb","WR","DAL","9","10.4","1.4","WR06","WR06","0","1062020"
"Jonathan Taylor","RB","IND","10","8.4","-1.6","RB04","RB04","0","1065406"
"Saquon Barkley","RB","PHI","11","13.4","2.4","RB05","RB07","2","883302"
"James Cook","RB","BUF","12","10.7","-1.3","RB06","RB05","-1","1131012"
"Ashton Jeanty","RB","LV","13","12.4","-0.6","RB07","RB06","-1","1379646"
"Drake London","WR","ATL","14","21.1","7.1","WR07","WR08","1","1178741"
"Derrick Henry","RB","BAL","15","19.3","4.3","RB08","RB12","4","732145"
"Brock Bowers","TE","LV","16","19.4","3.4","TE01","TE01","0","1285917"
"Kenneth Walker","RB","KC","17","15.5","-1.5","RB09","RB09","0","1164402"
"AJ Brown","WR","NE","18","16.2","-1.8","WR08","WR07","-1","944826"
"De'Von Achane","RB","MIA","19","18.9","-0.1","RB10","RB11","1","1231820"
"Chase Brown","RB","CIN","20","16.6","-3.4","RB11","RB10","-1","1123379"
"Omarion Hampton","RB","LAC","21","14.7","-6.3","RB12","RB08","-4","1398572"
"Trey McBride","TE","ARI","22","25.5","3.5","TE02","TE02","0","1108161"
"George Pickens","WR","DAL","23","24.2","1.2","WR09","WR11","2","1172053"
"Nico Collins","WR","HOU","24","23.3","-0.7","WR10","WR10","0","1074698"
"Chris Olave","WR","NO","25","28.9","3.9","WR11","WR13","2","1122592"
"Jeremiyah Love","RB","ARI","26","27.8","1.8","RB13","RB13","0","1451501"
"Rashee Rice","WR","KC","27","22.8","-4.2","WR12","WR09","-3","1173538"
"Garrett Wilson","WR","NYJ","28","38.4","10.4","WR13","WR19","6","1164889"
"Devonta Smith","WR","PHI","29","28.0","-1.0","WR14","WR12","-2","1060262"
"Malik Nabers","WR","NYG","30","35.4","5.4","WR15","WR18","3","1286059"
"Breece Hall","RB","NYJ","31","34.7","3.7","RB14","RB15","1","1162537"
"Kyren Williams","RB","LA","32","30.0","-2.0","RB15","RB14","-1","1167361"
"Ladd McConkey","WR","LAC","33","34.7","1.7","WR16","WR16","0","1218643"
"Zay Flowers","WR","BAL","34","31.9","-2.1","WR17","WR15","-2","1177053"
"Emeka Egbuka","WR","TB","35","30.5","-4.5","WR18","WR14","-4","1287825"
"Javonte Williams","RB","DAL","36","36.8","0.8","RB16","RB16","0","1107881"
"Josh Allen","QB","BUF","37","27.2","-9.8","QB01","QB01","0","868199"
"Colston Loveland","TE","CHI","38","40.0","2.0","TE03","TE03","0","1378821"
"Tee Higgins","WR","CIN","39","35.4","-3.6","WR19","WR17","-2","978579"
"Josh Jacobs","RB","GB","40","41.3","1.3","RB17","RB17","0","944416"
"Travis Etienne","RB","NO","41","41.9","0.9","RB18","RB18","0","978577"
"Tetairoa McMillan","WR","CAR","42","42.5","0.5","WR20","WR21","1","1380576"
"Davante Adams","WR","LA","43","49.1","6.1","WR21","WR25","4","611417"
"Terry McLaurin","WR","WAS","44","45.8","1.8","WR22","WR23","1","836116"
"Cam Skattebo","RB","NYG","45","44.7","-0.3","RB19","RB19","0","1280316"
"D'Andre Swift","RB","CHI","46","50.6","4.6","RB20","RB21","1","1069808"
"Luther Burden","WR","CHI","47","45.6","-1.4","WR23","WR22","-1","1377732"
"Jaylen Waddle","WR","DEN","48","40.2","-7.8","WR24","WR20","-4","1125749"
"Jameson Williams","WR","DET","49","52.9","3.9","WR25","WR27","2","1175184"
"Mike Evans","WR","SF","50","51.4","1.4","WR26","WR26","0","593587"
"David Montgomery","RB","HOU","51","48.3","-2.7","RB21","RB20","-1","946739"
"Lamar Jackson","QB","BAL","52","54.0","2.0","QB02","QB02","0","877745"
"DJ Moore","WR","BUF","53","48.5","-4.5","WR27","WR24","-3","877790"
"Bucky Irving","RB","TB","54","60.7","6.7","RB22","RB25","3","1287923"
"Jayden Daniels","QB","WAS","55","69.9","14.9","QB03","QB05","2","1161228"
"Bhayshul Tuten","RB","JAX","56","51.7","-4.3","RB23","RB22","-1","1327169"
"Jordyn Tyson","WR","NO","57","68.8","11.8","WR28","WR34","6","1394692"
"Joe Burrow","QB","CIN","58","59.4","1.4","QB04","QB03","-1","878785"
"TreVeyon Henderson","RB","NE","59","57.1","-1.9","RB24","RB24","0","1287837"
"Jadarian Price","RB","SEA","60","63.8","3.8","RB25","RB26","1","1383791"
"Quinshon Judkins","RB","CLE","61","55.5","-5.5","RB26","RB23","-3","1383807"
"Christian Watson","WR","GB","62","55.1","-6.9","WR29","WR28","-1","1067918"
"Tyler Warren","TE","IND","63","61.1","-1.9","TE04","TE04","0","1229083"
"DK Metcalf","WR","PIT","64","76.1","12.1","WR30","WR36","6","945633"
"Carnell Tate","WR","TEN","65","62.0","-3.0","WR31","WR30","-1","1441839"
"Rhamondre Stevenson","RB","NE","66","76.2","10.2","RB27","RB29","2","1174682"
"Jaylen Warren","RB","PIT","67","73.5","6.5","RB28","RB28","0","1176443"
"Parker Washington","WR","JAX","68","64.1","-3.9","WR32","WR31","-1","1229074"
"Drake Maye","QB","NE","69","64.3","-4.7","QB05","QB04","-1","1286803"
"Tony Pollard","RB","TEN","70","72.3","2.3","RB29","RB27","-2","880398"
"Marvin Harrison","WR","ARI","71","67.3","-3.7","WR33","WR33","0","1287828"
"Brian Thomas","WR","JAX","72","66.0","-6.0","WR34","WR32","-2","1286064"
"Dak Prescott","QB","DAL","73","80.1","7.1","QB06","QB08","2","591816"
"Rome Odunze","WR","CHI","74","58.8","-15.2","WR35","WR29","-6","1213727"
"Jalen Hurts","QB","PHI","75","75.2","0.2","QB07","QB07","0","913271"
"Chuba Hubbard","RB","CAR","76","84.2","8.2","RB30","RB30","0","1062047"
"Rico Dowdle","RB","PIT","77","90.9","13.9","RB31","RB32","1","933480"
"RJ Harvey","RB","DEN","78","85.3","7.3","RB32","RB31","-1","1172401"
"Matthew Stafford","QB","LA","79","90.7","11.7","QB08","QB11","3","323205"
"Jordan Addison","WR","MIN","80","99.0","19.0","WR36","WR46","10","1214250"
"Caleb Williams","QB","CHI","81","71.7","-9.3","QB09","QB06","-3","1286445"
"Jayden Reed","WR","GB","82","93.5","11.5","WR37","WR43","6","1123398"
"Brock Purdy","QB","SF","83","98.2","15.2","QB10","QB13","3","1121761"
"Courtland Sutton","WR","DEN","84","83.1","-0.9","WR38","WR39","1","838878"
"Tucker Kraft","TE","GB","85","78.2","-6.8","TE05","TE05","0","1181874"
"Justin Herbert","QB","LAC","86","82.9","-3.1","QB11","QB09","-2","910562"
"Alec Pierce","WR","IND","87","81.9","-5.1","WR39","WR38","-1","1107027"
"Sam LaPorta","TE","DET","88","87.8","-0.2","TE06","TE07","1","1168926"
"Trevor Lawrence","QB","JAX","89","85.4","-3.6","QB12","QB10","-2","1110711"
"Chris Godwin","WR","TB","90","78.5","-11.5","WR40","WR37","-3","835127"
"Patrick Mahomes","QB","KC","91","97.1","6.1","QB13","QB12","-1","839031"
"Kenneth Gainwell","RB","TB","92","95.8","3.8","RB33","RB34","1","1130705"
"Kyle Pitts","TE","ATL","93","87.4","-5.6","TE07","TE06","-1","1123026"
"Harold Fannin","TE","CLE","94","102.8","8.8","TE08","TE08","0","1394752"
"Michael Wilson","WR","ARI","95","87.2","-7.8","WR41","WR41","0","1123529"
"Quentin Johnston","WR","LAC","96","72.6","-23.4","WR42","WR35","-7","1213865"
"Jordan Love","QB","GB","97","114.2","17.2","QB14","QB18","4","912137"
"Michael Pittman","WR","PIT","98","92.1","-5.9","WR43","WR42","-1","911348"
"Kyler Murray","QB","MIN","99","112.3","13.3","QB15","QB17","2","879799"
"Josh Downs","WR","IND","100","95.6","-4.4","WR44","WR44","0","1215077"
"Jaxson Dart","QB","NYG","101","103.7","2.7","QB16","QB14","-2","1286260"
"Blake Corum","RB","LA","102","101.4","-0.6","RB34","RB36","2","1229540"
"Makai Lemon","WR","PHI","103","85.4","-17.6","WR45","WR40","-5","1441120"
"Bo Nix","QB","DEN","104","109.8","5.8","QB17","QB16","-1","1161899"
"Jared Goff","QB","DET","105","104.4","-0.6","QB18","QB15","-3","727837"
"Jakobi Meyers","WR","JAX","106","114.1","8.1","WR46","WR49","3","880151"
"Ricky Pearsall","WR","SF","107","98.8","-8.2","WR47","WR45","-2","1161416"
"Xavier Worthy","WR","KC","108","110.4","2.4","WR48","WR48","0","1326638"
"JK Dobbins","RB","DEN","109","108.4","-0.6","RB35","RB37","2","976513"
"Kyle Monangai","RB","CHI","110","101.4","-8.6","RB36","RB35","-1","1250886"
